Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
20604377,I Must Say: My Life as a Humble Comedy Legend,Martin  Short,"Short, Martin",,"=""0062309528""","=""9780062309525""",4,4.10,Harper,Hardcover,336,2014,2014,2023/07/05,2023/06/27,,,read,,,,1,0
25843420,"The Atlantis Gene (The Origin Mystery, #1)",A.G. Riddle,"Riddle, A.G.",,"=""""","=""""",4,3.78,Riddle Inc.,Paperback,464,2015,2013,,2023/06/28,,,read,,,,1,0
61207289,"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,"Zevin, Gabrielle","Jennifer Kim, Julian Cihi","=""""","=""9780593591642""",4,4.16,Books on Tape,Audiobook,14,2022,2022,2023/06/27,2023/05/19,,,read,,,,1,0
126308600,Rechten voor de Natuur,Jessica den Outer,"Outer, Jessica den",,"=""9047714431""","=""9789047714439""",0,3.90,Lemniscaat,Hardcover,153,2023,2022,,2023/06/16,to-read,to-read (#157),to-read,,,,0,0
6759,Infinite Jest,David Foster Wallace,"Wallace, David Foster",,"=""""","=""""",0,4.25,Back Bay Books,Paperback,1088,2005,1996,,2023/06/10,to-read,to-read (#156),to-read,,,,0,0
59028418,How to Stop Time,Matt Haig,"Haig, Matt",,"=""0525522883""","=""""",0,3.83,Penguin,Kindle Edition,333,2018,2017,,2023/06/03,to-read,to-read (#155),to-read,,,,0,0
75265531,The Secret History,Donna Tartt,"Tartt, Donna",,"=""""","=""""",4,4.17,Vintage,Kindle Edition,577,2022,1992,2023/05/28,2023/03/31,,,read,,,,1,0
38898759,"Truly Devious (Truly Devious, #1)",Maureen Johnson,"Johnson, Maureen",,"=""""","=""""",3,3.92,Katherine Tegen Books,Kindle Edition,432,2018,2018,2023/06/03,2023/05/28,,,read,,,,1,0
60317097,Red Team Blues (Martin Hench #1),Cory Doctorow,"Doctorow, Cory",,"=""""","=""""",3,3.91,,,,,2023,2023/05/20,2023/05/04,,,read,,,,1,0
25754424,A Strangeness in My Mind,Orhan Pamuk,"Pamuk, Orhan",Ekin Oklap,"=""""","=""""",4,4.14,Vintage,Kindle Edition,601,2015,2014,2023/05/17,2023/05/03,,,read,,,,1,0
53333858,The Villain Institute (Hidden Legends: Prison for Supernatural Offenders #1),Megan Linski,"Linski, Megan",Alicia Rades,"=""""","=""""",3,4.08,Crystallite Publishing LLC,Kindle Edition,518,2021,,2023/05/04,2023/03/25,,,read,,,,1,0
18112071,The Spirit of Kaizen: Creating Lasting Excellence One Small Step at a Time,Robert Maurer,"Maurer, Robert",,"=""""","=""""",4,4.08,McGraw-Hill,Kindle Edition,173,2012,2012,2023/05/03,2023/04/30,,,read,,,,1,0
55710304,Exhalation,Ted Chiang,"Chiang, Ted",,"=""""","=""""",5,4.28,Vintage,Kindle Edition,362,2019,2019,2023/04/30,2020/03/13,,,read,,,,1,0
8529844,Ancestor,Scott Sigler,"Sigler, Scott",,"=""""","=""""",3,3.93,Crown,Kindle Edition,433,2010,2007,2023/04/23,2023/04/16,,,read,,,,1,0
60505565,"Win Every Argument: The Art of Debating, Persuading, and Public Speaking",Mehdi Hasan,"Hasan, Mehdi",,"=""1250853478""","=""9781250853479""",0,4.07,Henry Holt and Co.,Hardcover,336,2023,2023,,2023/04/15,to-read,to-read (#154),to-read,,,,0,0
22449929,"Apex (Nexus, #3)",Ramez Naam,"Naam, Ramez",Steven Meyer-Rassow,"=""""","=""""",4,4.17,Angry Robot,Kindle Edition,608,2015,2015,2023/04/15,2023/04/01,,,read,,,,1,0
18626894,"His Majesty's Dragon (Temeraire, #1)",Naomi Novik,"Novik, Naomi",,"=""""","=""""",4,4.06,Del Rey,Kindle Edition,384,2006,2006,2023/04/01,2023/03/26,,,read,,,,1,0
61812425,Paris: The Memoir,Paris Hilton,"Hilton, Paris",,"=""0063224623""","=""9780063224629""",0,4.22,Dey Street Books,Hardcover,336,2023,2023,,2023/03/31,to-read,to-read (#153),to-read,,,,0,0
102146148,What's Our Problem?: A Self-Help Book for Societies,Tim Urban,"Urban, Tim",,"=""""","=""9798987722602""",4,4.28,Wait But Why,Kindle Edition,746,2023,2023,2023/03/26,2023/03/12,,,read,,,,1,0
38389797,The New Jim Crow: Mass Incarceration in the Age of Colorblindness,Michelle Alexander,"Alexander, Michelle",,"=""1464048258""","=""9781464048258""",4,4.52,,Audiobook,13,2012,2010,2023/03/23,2023/02/14,,,read,,,,1,0
33958124,"Columbus Day (Expeditionary Force, #1)",Craig Alanson,"Alanson, Craig",R.C. Bray,"=""""","=""""",0,4.26,Podium Publishing,Audible Audio,17,2016,2016,,2023/03/22,to-read,to-read (#152),to-read,,,,0,0
59432413,"Girl, Forgotten (Andrea Oliver, #2)",Karin Slaughter,"Slaughter, Karin",,"=""""","=""""",3,4.02,William Morrow,Kindle Edition,400,2022,2022,2023/03/12,2023/03/04,,,read,,,,1,0
77566,"Hyperion (Hyperion Cantos, #1)",Dan Simmons,"Simmons, Dan",,"=""0553283685""","=""9780553283686""",0,4.27,Bantam Doubleday Dell Publishing Group,Mass Market Paperback,500,1990,1989,,2023/03/04,to-read,to-read (#151),to-read,,,,0,0
12100117,Crooked House,Agatha Christie,"Christie, Agatha",,"=""""","=""""",4,4.08,William Morrow Paperbacks,Kindle Edition,259,2010,1949,2023/01/30,2023/01/24,,,read,,,,2,0
41742154,"Children of Ruin (Children of Time, #2)",Adrian Tchaikovsky,"Tchaikovsky, Adrian",,"=""0316452548""","=""""",4,4.06,Orbit,Kindle Edition,576,2019,2019,2023/03/04,2021/05/31,,,read,,,,1,0
10483171,The Beginning of Infinity: Explanations That Transform the World,David Deutsch,"Deutsch, David",,"=""0670022756""","=""9780670022755""",0,4.18,Viking,Hardcover,487,2011,2011,,2023/02/25,to-read,to-read (#150),to-read,,,,0,0
110011308,Do the Debug: A starter's guide to fix DevOps coding errors the fast way,Marjolein Mosmans,"Mosmans, Marjolein",,"=""""","=""""",0,0.0,,Kindle Edition,42,2023,,2023/02/15,2023/02/14,,,read,,,,1,0
24968626,"Crux (Nexus, #2)",Ramez Naam,"Naam, Ramez",,"=""1942948018""","=""9781942948018""",4,4.13,,Kindle Edition,464,2015,2013,2023/02/14,2022/02/08,,,read,,,,1,0
60784636,All the Dangerous Things,Stacy Willingham,"Willingham, Stacy",,"=""1250803853""","=""9781250803856""",0,4.07,Minotaur Books,Hardcover,326,2023,2023,,2023/02/08,to-read,to-read (#149),to-read,,,,0,0
52839089,The Outward Mindset: How to Change Lives and Transform Organizations,Arbinger Institute,"Institute, Arbinger",,"=""1523087323""","=""9781523087327""",3,4.02,Berrett-Koehler Publishers,Kindle Edition,209,2019,2016,2021/02/07,2021/01/31,,,read,,,,1,0
62799029,"Chokepoint Capitalism: How to Beat Big Tech, Tame Big Content, and Get Artists Paid",Rebecca Giblin,"Giblin, Rebecca",Cory Doctorow,"=""1666610151""","=""9781666610154""",4,4.27,Beacon Press,Audio CD,,2022,2022,2023/02/07,2023/01/03,,,read,,,,1,0
55710260,This Is How You Lose the Time War,Amal El-Mohtar,"El-Mohtar, Amal",Max Gladstone,"=""""","=""""",5,3.89,Gallery / Saga Press,Kindle Edition,223,2019,2019,2023/01/24,2022/07/12,,,read,,,,1,0
11820482,Getting to Yes: Negotiating Agreement without Giving In,Roger Fisher,"Fisher, Roger",,"=""""","=""""",4,3.95,Penguin,Kindle Edition,242,2011,1981,2023/02/04,2019/04/26,,,read,,,,1,0
63127472,Engineering Management for the Rest of Us,Sarah Drasner,"Drasner, Sarah",,"=""""","=""""",4,4.21,Skill Recordings Inc,Kindle Edition,259,2022,2022,2023/01/15,2023/01/09,,,read,,,,1,0
40961473,The Little Prince,Antoine de Saint-Exupéry,"Saint-Exupéry, Antoine de",,"=""""","=""""",4,4.33,Mariner Books,Kindle Edition,100,2018,1943,2023/01/09,2022/12/16,,,read,,,,1,0
20150777,"Words of Radiance (The Stormlight Archive, #2)",Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""""",5,4.76,Tor Books,Kindle Edition,1088,2014,2014,2023/01/07,2022/12/08,,,read,,,,1,0
11996,I Who Have Never Known Men,Jacqueline Harpman,"Harpman, Jacqueline",Ros Schwartz,"=""0380731819""","=""9780380731817""",0,4.23,Avon Eos,Paperback,208,1998,1995,,2022/12/27,to-read,to-read (#148),to-read,,,,0,0
656,War and Peace,Leo Tolstoy,"Tolstoy, Leo","Aylmer Maude, Louise Maude","=""""","=""""",3,4.16,Oxford University Press,Paperback,1392,1998,1869,2022/12/20,2022/07/29,,,read,,,,1,0
58446227,Sea of Tranquility,Emily St. John Mandel,"Mandel, Emily St. John",,"=""0593321448""","=""9780593321447""",0,4.08,Knopf,Hardcover,259,2022,2022,,2022/12/09,to-read,to-read (#147),to-read,,,,0,0
40132775,"House of Sky and Breath (Crescent City, #2)",Sarah J. Maas,"Maas, Sarah J.",,"=""1408884429""","=""9781408884423""",0,4.48,Bloomsbury Publishing,Hardcover,805,2022,2022,,2022/12/09,to-read,to-read (#146),to-read,,,,0,0
15014,Crucial Conversations: Tools for Talking When Stakes are High,Kerry Patterson,"Patterson, Kerry","Stephen R. Covey, Joseph Grenny, Ron McMillan, Al Switzler","=""0071401946""","=""9780071401944""",0,4.07,McGraw-Hill,Paperback,240,2002,2002,,2022/12/09,to-read,to-read (#145),to-read,,,,0,0
26203640,Nonviolent Communication: A Language of Life: Life-Changing Tools for Healthy Relationships (Nonviolent Communication Guides),Marshall B. Rosenberg,"Rosenberg, Marshall B.",Deepak Chopra,"=""""","=""""",4,4.34,PuddleDancer Press,Kindle Edition,264,2015,1999,2022/12/08,2022/12/03,,,read,,,,1,0
437112,"Can't Buy Me Love: The Beatles, Britain, and America",Jonathan    Gould,"Gould, Jonathan",,"=""0307353370""","=""9780307353375""",0,4.20,Crown Archetype,Hardcover,672,2007,2007,,2022/12/03,to-read,to-read (#144),to-read,,,,0,0
59573872,City Dark,Roger A. Canaff,"Canaff, Roger A.",,"=""1542039533""","=""9781542039536""",4,4.15,Thomas & Mercer,Kindle Edition,352,2022,2022,2022/12/03,2022/11/26,,,read,,,,1,0
1824125,"Art and Science of Smalltalk, The",Simon  Lewis,"Lewis, Simon",,"=""0133713458""","=""9780133713459""",4,3.23,Prentice Hall,Paperback,250,1995,1995,,2022/11/28,,,read,,,,1,0
6608834,"Conversations with God, An Uncommon Dialogue: Living in the World with Honesty, Courage, and Love - Volume 1",Neale Donald Walsch,"Walsch, Neale Donald",,"=""1101657774""","=""9781101657775""",3,4.21,Putnam Adult,Kindle Edition,197,1996,1995,2022/11/25,2022/11/20,,,read,,,,1,0
45031091,Metal and Bone: A steampunk Cinderella story (Mutants and Modifieds Book 1),C.I. Chevron,"Chevron, C.I.",,"=""""","=""""",4,4.24,Cypress Knoll Press,Kindle Edition,333,2019,,2022/11/20,2022/11/12,,,read,,,,1,0
1282289,"Great People Decisions: Why They Matter So Much, Why They are So Hard, and How You Can Master Them",Claudio Fernández-Aráoz,"Fernández-Aráoz, Claudio",,"=""0470037261""","=""9780470037263""",0,3.90,Wiley,Hardcover,352,2007,2007,,2022/11/19,to-read,to-read (#143),to-read,,,,0,0
60318596,After Steve: How Apple Became a Trillion-Dollar Company and Lost Its Soul,Tripp Mickle,"Mickle, Tripp",,"=""0063009838""","=""9780063009837""",3,4.10,William Morrow,Kindle Edition,511,2022,2022,2022/11/12,2022/10/30,,,read,,,,1,0
23947089,"The Lost Metal (Mistborn, #7)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765391198""","=""9780765391193""",0,4.48,Tor Books,Hardcover,507,2022,2022,,2022/11/11,to-read,to-read (#142),to-read,,,,0,0
17245,Dracula,Bram Stoker,"Stoker, Bram","Rubén Toledo, Nina Auerbach, David J. Skal","=""0393970124""","=""9780393970128""",4,4.02,Norton,Paperback,488,1986,1897,2022/11/07,2022/05/06,,,read,,,,1,0
57036326,Never,Ken Follett,"Follett, Ken",,"=""""","=""""",3,4.09,Viking,Kindle Edition,816,2021,2021,2022/10/30,2022/07/09,,,read,,,,1,0
44531714,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Terry Pratchett,"Pratchett, Terry",Neil Gaiman,"=""""","=""""",4,4.26,William Morrow,Kindle Edition,383,2011,1990,2022/10/16,2022/10/02,,,read,,,,1,0
15499449,Game Programming Patterns,Robert Nystrom,"Nystrom, Robert",,"=""1430231505""","=""9781430231509""",0,4.49,Genever Benning,Paperback,300,2011,2011,,2022/10/04,to-read,to-read (#141),to-read,,,,0,0
60877959,Crafting Interpreters,Robert Nystrom,"Nystrom, Robert",,"=""""","=""""",0,4.70,,Kindle Edition,1082,2022,2021,,2022/10/04,to-read,to-read (#140),to-read,,,,0,0
6072636,"The End of Faith: Religion, Terror, and the Future of Reason",Sam Harris,"Harris, Sam",,"=""""","=""""",3,3.90,W. W. Norton & Company,Kindle Edition,352,2005,2004,2022/10/02,2022/09/23,,,read,,,,1,0
60522318,Lost in Time,A.G. Riddle,"Riddle, A.G.",,"=""1804541753""","=""9781804541753""",0,4.21,Head of Zeus,Kindle Edition,455,2022,2022,,2022/09/24,to-read,to-read (#139),to-read,,,,0,0
56143687,"Ultraxenopia (Project W.A.R., #1)",M.A. Phipps,"Phipps, M.A.",,"=""1914483022""","=""9781914483028""",3,3.81,Shire-Hill Publications,Kindle Edition,344,2020,2015,2022/09/23,2022/09/15,,,read,,,,1,0
60796552,We Won't Be Here Tomorrow and Other Stories,Margaret Killjoy,"Killjoy, Margaret",,"=""1849354758""","=""9781849354752""",0,4.39,AK Press,Paperback,248,2022,2022,,2022/09/20,to-read,to-read (#138),to-read,,,,0,0
34890015,Factfulness: Ten Reasons We're Wrong About the World – and Why Things Are Better Than You Think,Hans Rosling,"Rosling, Hans","Ola Rosling, Anna Rosling Rönnlund","=""1473637465""","=""9781473637467""",0,4.36,Sceptre,Hardcover,342,2018,2018,,2022/09/17,to-read,to-read (#137),to-read,,,,0,0
57021145,"The Last Shadow (Ender's Saga, #6)",Orson Scott Card,"Card, Orson Scott",,"=""""","=""""",3,3.63,Tor Books,Kindle Edition,317,2021,2021,2022/09/15,2021/09/28,,,read,,,,1,0
7234685,Understand,Ted Chiang,"Chiang, Ted",,"=""""","=""""",4,4.15,BBC Radio 7,Audiobook,46,2006,,2022/09/15,2022/09/15,,,read,,,,1,0
20170404,Station Eleven,Emily St. John Mandel,"Mandel, Emily St. John",,"=""0385353308""","=""9780385353304""",0,4.07,Knopf,Hardcover,333,2014,2014,,2022/09/09,to-read,to-read (#136),to-read,,,,0,0
89231,Augustus,John  Williams,"Williams, John",,"=""1400076730""","=""9781400076734""",0,4.24,Vintage,Paperback,336,2004,1972,,2022/09/06,to-read,to-read (#135),to-read,,,,0,0
55001095,"I, Robot",Isaac Asimov,"Asimov, Isaac",,"=""""","=""""",5,4.21,Spectra,Kindle Edition,304,2004,1950,2022/09/04,2022/08/28,,,read,,,,1,0
60177377,Fairy Tale,Stephen King,"King, Stephen",,"=""1668002183""","=""9781668002186""",0,4.11,Scribner,ebook,537,2022,2022,,2022/09/01,to-read,to-read (#134),to-read,,,,0,0
53502533,The Great Gatsby,F. Scott Fitzgerald,"Fitzgerald, F. Scott",,"=""1542024773""","=""9781542024778""",3,3.93,AmazonClassics ,Kindle Edition,163,2020,1925,2022/08/28,2020/07/07,,,read,,,,1,0
226550,Goddess of Yesterday,Caroline B. Cooney,"Cooney, Caroline B.",,"=""0440229308""","=""9780440229308""",0,3.95,Laurel Leaf Library,Mass Market Paperback,272,2003,2002,,2022/08/18,to-read,to-read (#133),to-read,,,,0,0
53438195,The Witch's Heart,Genevieve Gornichec,"Gornichec, Genevieve",,"=""059309994X""","=""9780593099940""",0,4.05,Ace,Hardcover,359,2021,2021,,2022/08/18,to-read,to-read (#132),to-read,,,,0,0
54860614,Ariadne,Jennifer Saint,"Saint, Jennifer",,"=""125077358X""","=""9781250773586""",0,3.80,Flatiron Books,Hardcover,308,2021,2021,,2022/08/18,to-read,to-read (#131),to-read,,,,0,0
50164163,Circe,Madeline Miller,"Miller, Madeline",,"=""""","=""""",5,4.23,"Little, Brown and Company",Kindle Edition,433,2018,2018,2022/08/17,2022/07/29,,,read,,,,1,0
55559895,The President and the Frog,Carolina De Robertis,"Robertis, Carolina De",,"=""0593318412""","=""9780593318416""",0,4.03,Knopf,Hardcover,224,2021,2021,,2022/08/17,to-read,to-read (#130),to-read,,,,0,0
49674113,The Last Conversation,Paul Tremblay,"Tremblay, Paul",,"=""1542005310""","=""9781542005319""",3,3.77,Amazon Original Stories,Kindle Edition,56,2019,2019,2022/08/16,2022/08/11,,,read,,,,1,0
48829708,"To Sleep in a Sea of Stars (Fractalverse, #1)",Christopher Paolini,"Paolini, Christopher",,"=""1250762847""","=""9781250762849""",0,3.79,Tor Books,Hardcover,880,2020,2020,,2022/08/13,to-read,to-read (#129),to-read,,,,0,0
35068705,"The Poppy War (The Poppy War, #1)",R.F. Kuang,"Kuang, R.F.",,"=""0062662597""","=""9780062662590""",0,4.17,Harper Voyager,ebook,545,2018,2018,,2022/08/13,to-read,to-read (#128),to-read,,,,0,0
13147230,"The Long Earth (The Long Earth, #1)",Terry Pratchett,"Pratchett, Terry",Stephen Baxter,"=""0062067753""","=""9780062067753""",0,3.78,HarperCollins Harper,Hardcover,336,2012,2012,,2022/08/11,to-read,to-read (#127),to-read,,,,0,0
44168988,World Killer,Barry J. Hutchison,"Hutchison, Barry J.",,"=""""","=""""",3,4.19,Zertex Media Ltd,Kindle Edition,268,2019,2019,2022/08/07,2022/08/03,,,read,,,,1,0
49665863,You Have Arrived at Your Destination,Amor Towles,"Towles, Amor",,"=""1542004349""","=""9781542004343""",3,3.49,Amazon Original Stories,Kindle Edition,54,2019,2019,2022/08/04,2022/08/04,,,read,,,,1,0
25104078,"Sorcerer to the Crown (Sorcerer Royal, #1)",Zen Cho,"Cho, Zen",,"=""""","=""""",4,3.73,Ace,Kindle Edition,374,2015,2015,2022/08/03,2022/07/22,,,read,,,,1,0
42046112,Recursion,Blake Crouch,"Crouch, Blake",,"=""1524759783""","=""9781524759780""",0,4.17,Ballantine Books,Hardcover,326,2019,2019,,2022/08/02,to-read,to-read (#126),to-read,,,,0,0
49669410,Emergency Skin,N.K. Jemisin,"Jemisin, N.K.",,"=""""","=""""",4,4.03,Amazon Original Stories,Kindle Edition,38,2019,2019,2022/08/02,2022/08/02,,,read,,,,1,0
18423,The Left Hand of Darkness,Ursula K. Le Guin,"Guin, Ursula K. Le",,"=""""","=""""",0,4.10,Ace,Paperback,304,2000,1969,,2022/07/29,to-read,to-read (#125),to-read,,,,0,0
50548197,"A Deadly Education (The Scholomance, #1)",Naomi Novik,"Novik, Naomi",,"=""0593128486""","=""9780593128480""",0,3.97,Del Rey,Hardcover,323,2020,2020,,2022/07/29,to-read,to-read (#124),to-read,,,,0,0
58677491,The Memory Librarian: And Other Stories of Dirty Computer,Janelle Monáe,"Monáe, Janelle","Yohanca Delgado, Eve L. Ewing, Alaya Dawn Johnson, Danny Lore, Sheree Renée Thomas","=""0063070871""","=""9780063070875""",0,3.76,Harper Voyager,Hardcover,321,2022,2022,,2022/07/29,to-read,to-read (#123),to-read,,,,0,0
49676965,Summer Frost,Blake Crouch,"Crouch, Blake",,"=""1542043638""","=""""",4,4.10,Amazon Original Stories,Kindle Edition,75,2019,2019,2022/07/29,2022/07/27,,,read,,,,1,0
35608147,The Art of War,Sun Tzu,"Tzu, Sun",Lionel Giles,"=""1542097525""","=""""",3,3.96,AmazonClassics,Kindle Edition,268,2017,-400,2022/07/22,2022/07/22,,,read,,,,1,0
53568397,The Midnight Library,Matt Haig,"Haig, Matt",,"=""""","=""""",4,4.00,Viking ,Kindle Edition,289,2020,2020,2022/07/20,2022/07/16,,,read,,,,1,0
20118661,Things a Little Bird Told Me: Confessions of the Creative Mind,Biz Stone,"Stone, Biz",,"=""""","=""""",3,3.92,Grand Central Publishing,Kindle Edition,239,2014,2014,2022/07/16,2022/07/09,,,read,,,,1,0
18626815,"Wool (Silo, #1)",Hugh Howey,"Howey, Hugh",,"=""""","=""""",3,4.22,Broad Reach Publishing,Kindle Edition,530,2012,2012,2022/07/09,2022/07/01,,,read,,,,1,0
92364,Eye of the Needle,Ken Follett,"Follett, Ken",,"=""006074815X""","=""9780060748159""",0,4.21,William Morrow Paperbacks,Paperback,368,2004,1978,,2022/07/09,to-read,to-read (#122),to-read,,,,0,0
57981429,"All My Darkest Impulses (House of Crows, #1)",Lisa Unger,"Unger, Lisa",,"=""1542027276""","=""9781542027274""",0,3.82,Amazon Original Stories,Kindle Edition,51,2021,2021,,2022/07/07,to-read,to-read (#121),to-read,,,,0,0
16204601,"Howl's Moving Castle (Howl's Moving Castle, #1)",Diana Wynne Jones,"Jones, Diana Wynne",,"=""""","=""""",4,4.29,Greenwillow Books,Kindle Edition,308,2012,1986,2022/07/01,2022/06/27,,,read,,,,1,0
40881903,Unparalleled,D.S.   Smith,"Smith, D.S.",,"=""""","=""""",3,4.13,Amazon Media EU S.à r.l.,Kindle Edition,287,2019,2018,2022/06/19,2022/06/15,,,read,,,,1,0
58724805,Slaying the Dragon: A Secret History of Dungeons & Dragons,Ben Riggs,"Riggs, Ben",,"=""125027804X""","=""9781250278043""",0,3.97,St. Martin's Press,Hardcover,293,2022,2022,,2022/06/28,to-read,to-read (#120),to-read,,,,0,0
60749618,"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",Bessel van der Kolk,"Kolk, Bessel van der",,"=""""","=""""",4,4.39,Viking Adult,Kindle Edition,466,2014,2014,2022/06/27,2022/04/29,,,read,,,,1,0
57795665,The Locked Door,Freida McFadden,"McFadden, Freida",,"=""""","=""""",3,4.06,Hollywood Upstairs Press,Kindle Edition,313,2021,2021,2022/06/13,2022/06/12,,,read,,,,1,0
8945272,Sand and Stars (Star Trek: Signature Edition),Diane Duane,"Duane, Diane",A.C. Crispin,"=""""","=""""",4,4.24,Amazon Digital Services,Kindle Edition,432,,2004,2022/06/12,2022/05/29,,,read,,,,1,0
57007987,Gunfight: My Battle Against the Industry that Radicalized America,Ryan Busse,"Busse, Ryan",,"=""1541768736""","=""9781541768734""",0,4.39,PublicAffairs,Hardcover,352,2021,,,2022/06/15,to-read,to-read (#119),to-read,,,,0,0
3228917,Outliers: The Story of Success,Malcolm Gladwell,"Gladwell, Malcolm",,"=""0316017922""","=""9780316017923""",0,4.19,"Little, Brown and Company",Hardcover,309,2008,2008,,2022/06/11,to-read,to-read (#118),to-read,,,,0,0
55776976,"A Three Dog Problem (Her Majesty the Queen Investigates, #2)",S.J.  Bennett,"Bennett, S.J.",,"=""1838774858""","=""9781838774851""",0,3.89,Zaffre,Kindle Edition,362,2021,2021,,2022/05/30,to-read,to-read (#117),to-read,,,,0,0
6283504,Coraline,Neil Gaiman,"Gaiman, Neil",Dave McKean,"=""""","=""""",5,4.12,HarperCollins,Kindle Edition,208,2009,2002,2022/05/29,2022/05/27,,,read,,,,1,0
8701089,No Wind of Blame (Inspector Hemingway Mystery #1),Georgette Heyer,"Heyer, Georgette",,"=""""","=""""",3,3.79,,Kindle Edition,348,,1939,2022/05/27,2022/05/23,,,read,,,,1,0
58214503,The Insecure Mind of Sergei Kraev,Eric Silberstein,"Silberstein, Eric",,"=""1737351927""","=""9781737351924""",4,4.19,Liu Book Group,Kindle Edition,392,2021,2021,2022/05/21,2022/05/18,,,read,,,,1,0
41431734,The Dream Machine,M. Mitchell Waldrop,"Waldrop, M. Mitchell",,"=""1953953360""","=""9781953953360""",4,4.57,Stripe Press,Kindle Edition,528,2018,2001,2022/05/18,2021/02/20,,,read,,,,1,0
342362,"The Last Jihad (The Last Jihad, #1)",Joel C. Rosenberg,"Rosenberg, Joel C.",,"=""1414312725""","=""9781414312729""",0,4.19,Tyndale Fiction,Paperback,307,2006,2002,,2022/05/04,to-read,to-read (#116),to-read,,,,0,0
60497502,My Evil Mother,Margaret Atwood,"Atwood, Margaret",,"=""1662504497""","=""9781662504495""",3,3.89,Amazon Original Stories,Kindle Edition,32,2022,2022,2022/05/03,2022/05/03,,,read,,,,1,0
49680556,Ark,Veronica Roth,"Roth, Veronica",,"=""154209206X""","=""""",3,3.60,Amazon Original Stories,Kindle Edition,45,2019,2019,2022/05/02,2022/05/02,,,read,,,,1,0
29780253,Born a Crime: Stories From a South African Childhood,Trevor Noah,"Noah, Trevor",,"=""""","=""""",5,4.49,Doubleday Canada,Hardcover,289,2016,2016,2022/04/29,2022/04/22,,,read,,,,1,0
45697427,Dark Matter,Blake Crouch,"Crouch, Blake",,"=""""","=""""",4,4.14,Ballantine Books,Kindle Edition,343,2016,2016,2022/05/01,2022/04/28,,,read,,,,1,0
6305619,"Use of Weapons (Culture, #3)",Iain M. Banks,"Banks, Iain M.",,"=""""","=""""",3,4.17,Orbit,Kindle Edition,352,2008,1990,2022/04/28,2022/04/20,,,read,,,,1,0
27214080,"Five Presidents: My Extraordinary Journey with Eisenhower, Kennedy, Johnson, Nixon, and Ford",Clint Hill,"Hill, Clint",Lisa McCubbin Hill,"=""1476794138""","=""9781476794136""",0,4.27,Gallery Books,Hardcover,464,2016,2016,,2022/04/24,to-read,to-read (#115),to-read,,,,0,0
187174,"The Murder of Roger Ackroyd (Hercule Poirot, #4)",Agatha Christie,"Christie, Agatha",Hugh Fraser,"=""0007202059""","=""9780007202058""",3,4.27,HarperCollins Publishers,Audiobook,7,2005,1926,2022/04/22,2022/04/16,,,read,,,,1,0
44074800,The Southern Book Club's Guide to Slaying Vampires,Grady Hendrix,"Hendrix, Grady",,"=""""","=""""",3,3.80,Quirk Books,Kindle Edition,410,2020,2020,2022/04/20,2022/04/13,,,read,,,,1,0
7156868,The Accidental Time Machine,Joe Haldeman,"Haldeman, Joe",,"=""""","=""""",3,3.72,Ace,Kindle Edition,288,2008,2007,2022/04/13,2022/04/05,,,read,,,,1,0
6011852,The Brothers Karamazov,Fyodor Dostoevsky,"Dostoevsky, Fyodor",Frederick Davidson,"=""""","=""""",4,4.37,Playaway,Audible Audio,35,2008,1880,2022/04/13,2021/12/01,,,read,,,,1,0
51375433,"How We Show Up: Reclaiming Family, Friendship, and Community",Mia Birdsong,"Birdsong, Mia",,"=""158005806X""","=""9781580058063""",3,4.27,Hachette Go,Kindle Edition,274,2020,2020,2022/04/05,2022/03/29,,,read,,,,1,0
53463056,"The Way of Kings (The Stormlight Archive, #1)",Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""""",5,4.66,Tor Books,Kindle Edition,1137,2010,2010,2022/03/29,2018/11/17,,,read,,,,1,0
10803121,"The Alloy of Law (Mistborn, #4)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765330423""","=""9780765330420""",0,4.20,Tor Books,Hardcover,332,2011,2011,,2022/03/24,to-read,to-read (#114),to-read,,,,0,0
57189884,"He Who Fights with Monsters (He Who Fights with Monsters, #1)",Shirtaloon,"Shirtaloon, Shirtaloon",Travis Deverell,"=""""","=""""",0,4.43,Aethon Books,Kindle Edition,680,2021,2021,,2022/03/22,to-read,to-read (#113),to-read,,,,0,0
25898541,Do You Talk Funny?: 7 Comedy Habits to Become a Better (and Funnier) Public Speaker,David Nihill,"Nihill, David",,"=""1942952279""","=""9781942952275""",0,3.93,BenBella Books,Paperback,208,2016,2015,,2022/03/16,to-read,to-read (#112),to-read,,,,0,0
30282601,"The Collapsing Empire (The Interdependency, #1)",John Scalzi,"Scalzi, John",,"=""""","=""""",0,4.12,Tor Books,Kindle Edition,336,2017,2017,,2022/01/01,to-read,to-read (#104),to-read,,,,0,0
