Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
199017130,The Diary of a CEO: The 33 Laws of Business and Life,Steven Bartlett,"Bartlett, Steven",,"=""0593715837""","=""9780593715833""",0,4.19,Portfolio,Hardcover,368,2023,,,2024/05/08,to-read,to-read (#185),to-read,,,Marina recommended the podcast that this book is based on,0,0
36461143,"Retribution (Awaken Online, #2.5)",Travis Bagwell,"Bagwell, Travis",,"=""""","=""""",4,4.39,,Kindle Edition,277,2017,2017,2024/05/04,2024/04/30,,,read,,,,1,0
60406379,I'm Glad My Mom Died,Jennette McCurdy,"McCurdy, Jennette",,"=""1797147943""","=""9781797147949""",0,4.46,Simon & Schuster Audio,Audiobook,7,2022,2022,,2024/04/27,to-read,to-read (#183),to-read,,,"Rosalyn is reading this, and it's high in the top books of the 2024 OBAW challenge at Google.",0,0
177317620,Uptime: A Practical Guide to Personal Productivity and Wellbeing,Laura Mae Martin,"Martin, Laura Mae",,"=""006331746X""","=""9780063317468""",4,4.41,Harper Business,Kindle Edition,233,2024,,2024/04/29,2024/04/05,,,read,,,,1,0
32109569,"We Are Legion (We Are Bob) (Bobiverse, #1)",Dennis E. Taylor,"Taylor, Dennis E.",,"=""""","=""""",0,4.28,Worldbuilders Press,Kindle Edition,383,2016,2016,,2024/04/29,to-read,to-read (#184),to-read,,,,0,0
49988329,"Artemis Fowl (Artemis Fowl, #1)",Eoin Colfer,"Colfer, Eoin",,"=""""","=""""",4,3.86,Disney Hyperion,Kindle Edition,420,2009,2001,2024/04/25,2024/04/21,,,read,,,,1,0
59783101,Build: An Unorthodox Guide to Making Things Worth Making,Tony Fadell,"Fadell, Tony",,"=""""","=""""",3,4.33,Harper Business,Kindle Edition,414,2022,,2024/04/21,2023/03/13,,,read,,,,1,0
59344312,Verity,Colleen Hoover,"Hoover, Colleen",,"=""153872474X""","=""9781538724743""",0,4.32,Grand Central Publishing,ebook,336,2021,2018,,2024/04/18,to-read,to-read (#182),to-read,,,,0,0
1191527,"A Hat Full of Sky (Discworld, #32)",Terry Pratchett,"Pratchett, Terry",Stephen Briggs,"=""0060747684""","=""9780060747688""",4,4.32,HarperChildren's Audio,Audio CD,8,2004,2004,2024/04/18,2024/04/02,,,read,,,,1,0
195264190,"Compulsory (The Murderbot Diaries, #0.5)",Martha Wells,"Wells, Martha",,"=""""","=""""",3,4.35,Subterranean Press,Kindle Edition,8,2023,2018,2024/04/12,2024/04/12,,,read,,,,1,0
61233080,"Black Powder War (Temeraire, #3)",Naomi Novik,"Novik, Naomi",,"=""""","=""""",4,3.90,,Kindle Edition,400,2022,2006,2024/04/12,2023/08/15,,,read,,,,1,0
45449555,"The Hand on the Wall (Truly Devious, #3)",Maureen Johnson,"Johnson, Maureen",,"=""""","=""""",4,4.14,Katherine Tegen Books,Kindle Edition,375,2020,2020,2024/03/11,2024/02/17,,,read,,,,1,0
139603446,"Before the Coffee Gets Cold / Tales from the Café / Before Your Memory Fades (Before the Coffee Gets Cold, #1-3)",Toshikazu Kawaguchi,"Kawaguchi, Toshikazu",,"=""0369748573""","=""""",4,3.88,Hanover Square Press,Kindle Edition,591,2023,2023,2024/03/23,2024/03/11,,,read,,,Birthday present from Manon,1,1
40249881,Terry Pratchett: The BBC Radio Drama Collection,Terry Pratchett,"Pratchett, Terry","Martin Jarvis, Sheila Hancock, Anton Lesser, Alex   Jennings, Philip   Jackson, Mark Heap","=""1785298224""","=""9781785298226""",0,4.13,BBC Physical Audio,Audio CD,14,2018,2018,,2024/04/03,to-read,to-read (#181),to-read,,,,0,0
60021175,Hack Your Bureaucracy: Get Things Done No Matter What Your Role on Any Team,Marina Nitze,"Nitze, Marina",Nick Sinai,"=""0306827751""","=""9780306827754""",0,4.16,Hachette Go,Hardcover,368,2022,2022,,2024/04/03,to-read,to-read (#180),to-read,,,"Kevmoo marked this as ""want to read"" and the topic sounds interesting.",0,0
6569494,Robinson Crusoe,Daniel Defoe,"Defoe, Daniel",,"=""""","=""""",4,3.68,Digireads.com,Kindle Edition,239,2004,1719,2024/04/01,2024/03/23,,,read,,,,1,0
123423832,The Coworker,Freida McFadden,"McFadden, Freida",,"=""172829620X""","=""9781728296203""",0,3.80,Poisoned Pen Press,Paperback,362,2023,2023,,2024/03/27,to-read,to-read (#179),to-read,,,,0,0
209041030,The Bezzle (Martin Hench #2),Cory Doctorow,"Doctorow, Cory",Wil Wheaton,"=""""","=""9798874717261""",4,4.15,,Audiobook,8,2024,2024,2024/03/19,2024/03/07,,,read,,,,1,0
41102848,Learning GraphQL: Declarative Data Fetching for Modern Web Apps,Eve Porcello,"Porcello, Eve",Alex Banks,"=""""","=""""",3,3.73,O'Reilly Media,Kindle Edition,200,2018,,2024/03/10,2024/02/24,,,read,,,,1,0
36300670,"The City of Brass (The Daevabad Trilogy, #1)",S.A. Chakraborty,"Chakraborty, S.A.",Soneela Nankani,"=""0062742647""","=""9780062742643""",4,4.15,HarperAudio,Audiobook,20,2017,2017,2024/03/07,2024/01/30,,,read,,,,1,0
9605137,"Surface Detail (Culture, #9)",Iain M. Banks,"Banks, Iain M.",,"=""""","=""""",3,4.26,Orbit,Kindle Edition,627,2010,2010,2024/03/04,2022/03/22,,,read,,,,1,0
